distance,Wind speed @ 1m
1893.6,0.8228161799
1901.7,0.8228161799
1909.7,0.8228161799
1918.3,0.8228161799
1935,0.8228161799
1943.1,0.8228161799
1952.1,0.8228161799
1960.7,0.8228161799
1968.8,0.8228161799
1984.5,0.8228161799
1993.1,0.8228161799
2000.9,0.8228161799
2017.8,0.8228161799
2026.3,0.8228161799
2052.4,0.8228161799
2061.7,0.8228161799
2080.8,0.8228161799
2090.8,0.8228161799
2111.7,0.8228161799
2121.7,0.8228161799
2131.7,0.8228161799
2151.7,0.8228161799
2160.7,0.8228161799
2170.7,0.8228161799
2180.7,0.8228161799
2200.6,0.8228161799
2210.6,0.8228161799
2220.6,0.8228161799
2231.5,0.8228161799
2252.4,0.8228161799
2263.4,0.8228161799
2274.2,0.8228161799
2285.2,0.8228161799
2296.1,0.8228161799
2317.8,0.8228161799
2328.8,0.8228161799
2339.6,0.8228161799
2351.4,0.8228161799
2372.3,0.8228161799
2382.5,0.8228161799
2393.5,0.8228161799
2404,0.8228161799
2426.2,0.8228161799
2438,0.8228161799
2449.4,0.8228161799
2460.8,0.8228161799
2484,0.8228161799
2495.3,0.8228161799
2506,0.8228161799
2516.9,0.8228161799
2538.3,0.8228161799
2548.2,0.8228161799
2557.9,0.8228161799
2568.2,0.8228161799
2594,0.8228161799
2632.1,0.8228161799
2670.1,0.8228161799
2706.1,0.8228161799
2738,0.8228161799
2760.7,0.8228161799
2779.6,0.8228161799
2813.3,0.8228161799
2836.8,0.8228161799
2844.9,0.8228161799
2862.4,0.8228161799
2872.5,0.8228161799
2881.1,0.8228161799
2891.5,0.8228161799
2900.5,0.8228161799
2910,0.8228161799
2920,0.8228161799
2929.5,0.8228161799
2939,0.8228161799
2949.1,0.8228161799
2958.5,0.8228161799
2968,0.8228161799
2978.1,0.8228161799
2987.6,0.8228161799
2997.6,0.8228161799
3008.1,0.8228161799
3018.1,0.8228161799
3028.5,0.8228161799
3038,0.8228161799
3047.5,0.8228161799
3110.1,0.8228161799
3119.6,0.8228161799
3129.1,0.8228161799
3138.6,0.8228161799
3148.1,0.8228161799
3157.1,0.8228161799
3165.7,0.8228161799
3195.1,0.8228161799
3205.6,0.8228161799
3214.6,0.8228161799
3225,0.8228161799
3235.4,0.8228161799
3257.2,0.8228161799
3267.7,0.8228161799
3278.1,0.8228161799
3288.5,0.8228161799
3299.9,0.8228161799
3311.3,0.8228161799
3324.1,0.8228161799
3335.5,0.8228161799
3348.3,0.8228161799
3362.1,0.8228161799
3374.5,0.8228161799
3388.2,0.8228161799
3402,0.8228161799
3415.4,0.8228161799
3429.2,0.8228161799
3442.6,0.8228161799
3456.3,0.8228161799
3472.1,0.8228161799
3486.4,0.8228161799
3502.1,0.8228161799
3517.9,0.8228161799
3533.9,0.8228161799
3549.9,0.8228161799
3565.5,0.8228161799
3582.2,0.8228161799
3599,0.8228161799
3614.8,0.5693234419
3630.6,0.5693234419
3646.4,0.5693234419
3661.3,0.5693234419
3674.9,0.5693234419
3690.7,0.5693234419
3704.3,0.5693234419
3716.7,0.5693234419
3727.9,0.5693234419
3739.2,0.5693234419
3748.1,0.5693234419
3758.1,0.5693234419
3764.8,0.5693234419
3772.6,0.5693234419
3778.1,0.5693234419
3783.8,0.5693234419
3789.4,0.5693234419
3793.9,0.5693234419
3799.6,0.5693234419
3804.1,0.5693234419
3808.6,0.5693234419
3813.2,0.5693234419
3816.5,0.5693234419
3820,0.5693234419
3824.5,0.5693234419
3828,0.5693234419
3831.3,0.5693234419
3843,0.5693234419
3846.5,0.5693234419
3851,0.5693234419
3854.3,0.5693234419
3857.8,0.5693234419
3867.4,0.5693234419
3870.9,0.5693234419
3873.7,0.5693234419
3877.2,0.5693234419
3879.6,0.5693234419
3886.2,0.5693234419
3889.7,0.5693234419
3892.1,0.5693234419
3894.9,0.5693234419
3897.8,0.5693234419
3901.6,0.5693234419
